T,C^2_s
99.94774185,0.190110579
115.0062924,0.180441748
128.8819517,0.140153084
139.0621323,0.130075645
146.9351123,0.120161348
152.0344435,0.120200078
158.0658202,0.13996568
165.9731923,0.160539777
175.0286714,0.180744219
200.0947226,0.223071382
