T,energy
99.85137937,0.814117578
115.0022343,1.335956903
129.0922446,1.78402339
139.0955111,2.426661092
147.0838848,3.163074173
152.0890779,3.973896764
158.1408761,4.824267071
166.1292498,5.763755435
175.0859112,6.687273849
200.261392,8.746441314
228.3417358,9.789687305
