T,pressure
98.82517023,0.66816231
115.3393995,0.853503955
128.9261787,1.101277495
139.8008928,1.36998167
147.2880864,1.647880901
152.9196038,1.892482959
159.3600441,2.186400215
167.3218299,2.665646795
176.5398557,3.215370698
200.8517902,4.815509321
229.4947127,6.315561096
